CSA,CSB,AUT,CSI,MFL,MDS,SDM,RAY,EPS,COM,EED,ANG,STA
13.40,18.00,16.79,13.80,18.00,17.92,17.69,18.28,13.50,15.50,14.50,16.50,17.00
15.40,18.43,16.43,12.00,13.35,18.96,18.96,15.28,14.50,18.00,14.00,15.25,17.50
15.80,15.50,16.43,16.90,17.85,16.04,15.08,16.06,16.00,18.50,15.00,12.00,16.00
18.80,15.14,15.86,14.20,15.69,13.73,18.46,10.06,14.00,16.50,16.50,15.84,16.63
17.00,14.79,16.00,16.80,14.58,15.58,18.19,16.56,14.00,17.00,13.50,13.70,17.00
14.80,17.71,16.00,12.90,17.77,14.19,16.65,15.39,15.50,15.50,15.50,16.90,17.00
14.60,15.43,15.43,14.20,16.58,18.62,15.77,10.72,16.00,16.00,14.00,16.90,
13.20,13.57,16.07,15.60,15.04,18.62,17.96,14.17,18.00,17.00,12.50,12.80,16.07
14.00,17.14,17.07,15.50,13.35,16.27,13.08,16.06,14.00,16.00,15.50,17.60,13.50
14.80,15.71,14.79,16.90,12.58,15.35,14.46,14.39,16.00,16.00,15.00,14.50,16.88
18.40,15.64,15.57,12.00,14.58,15.27,15.02,10.39,15.00,16.50,16.00,16.32,17.00
13.20,15.21,16.14,16.80,14.81,16.54,16.00,12.67,15.50,16.00,15.00,15.37,14.93
13.00,15.04,13.00,16.90,12.65,16.08,17.31,12.11,16.00,16.50,15.50,16.90,17.45
15.40,14.57,15.86,15.50,14.23,15.77,15.92,16.28,13.50,16.00,15.00,15.40,
14.40,15.00,14.50,16.90,13.77,14.65,15.96,11.39,18.00,17.50,16.50,14.87,16.00
16.40,14.07,13.57,15.10,16.46,14.77,13.62,10.33,17.50,16.00,13.00,16.45,17.00
16.20,14.36,14.71,15.30,14.23,12.31,15.85,12.33,16.00,16.50,16.50,16.71,17.79
15.60,13.43,16.07,13.40,15.77,14.88,16.31,16.78,14.00,16.00,13.50,15.12,15.95
16.20,18.00,12.79,13.80,13.38,13.38,16.58,16.94,17.00,16.00,15.00,14.10,14.50
12.80,17.29,15.79,15.30,13.15,14.81,17.31,12.83,17.00,15.00,12.50,15.25,16.36
15.20,15.00,14.50,12.00,15.31,16.96,18.04,15.28,14.50,16.50,15.00,15.25,14.00
15.60,11.86,14.79,16.80,14.35,16.62,17.92,12.17,16.50,17.00,12.50,11.50,16.57
17.80,13.71,15.07,13.80,14.88,16.58,13.04,9.61,15.50,16.00,15.50,14.28,17.00
17.80,13.68,15.64,12.00,14.58,14.54,14.69,13.11,13.50,16.00,12.50,15.90,17.50
14.40,13.93,16.00,16.90,15.38,16.27,15.42,12.72,17.00,15.00,13.00,10.87,15.50
14.60,13.86,13.71,15.60,13.08,15.85,16.88,15.39,15.50,15.50,14.00,14.00,16.50
10.40,13.71,16.57,12.00,14.04,16.54,17.31,15.50,14.00,16.50,17.50,15.80,
14.60,14.36,16.00,16.80,14.96,13.96,17.12,9.92,14.00,16.00,14.50,14.20,16.50
16.00,13.11,16.57,12.00,11.88,17.58,17.08,12.72,16.50,16.00,16.50,12.93,16.50
13.40,15.14,14.79,15.60,12.77,15.77,14.42,14.06,14.00,16.50,17.00,14.62,16.00
14.60,14.21,16.57,13.80,11.96,17.31,14.23,9.44,18.00,16.50,13.00,14.50,17.75
13.00,15.86,13.36,15.30,11.42,14.54,16.35,12.94,14.00,16.00,16.50,17.45,16.50
12.00,16.43,15.07,12.90,14.88,14.08,15.96,15.89,14.00,16.50,17.50,13.50,17.00
11.40,13.14,15.21,16.30,11.65,15.54,14.85,14.25,,16.50,15.50,16.75,16.15
17.20,12.54,13.00,16.30,12.81,15.00,13.38,12.39,15.00,18.00,8.50,16.90,17.25
14.80,13.86,12.57,15.50,14.38,15.12,15.19,14.17,13.50,15.00,14.00,17.23,13.50
14.20,13.61,13.86,15.30,14.23,15.23,15.54,16.22,18.00,16.50,10.00,12.31,16.13
9.60,15.79,13.21,16.90,12.65,15.15,17.69,9.44,12.50,16.00,17.00,17.65,16.50
15.40,13.57,14.00,13.40,12.88,15.08,15.19,14.00,16.50,16.00,16.00,14.60,16.50
15.80,13.86,16.00,12.00,14.58,15.58,17.46,15.61,10.00,16.50,15.00,12.50,
17.00,12.64,13.29,13.80,13.81,13.08,17.35,10.61,15.50,17.50,12.50,14.10,17.00
13.20,14.57,12.93,15.30,13.73,16.23,13.19,12.94,15.00,15.00,14.50,14.62,17.06
15.60,15.00,15.00,12.90,15.19,14.42,15.31,12.17,14.50,15.50,13.00,14.74,
11.40,17.64,14.86,15.10,15.65,15.46,11.04,13.83,15.00,16.00,15.00,13.40,15.75
12.20,12.00,14.93,16.90,13.15,11.88,15.77,11.22,16.00,17.00,10.50,17.31,17.00
14.60,13.43,13.93,12.90,13.42,13.62,15.65,16.89,18.00,15.50,13.00,14.70,16.00
17.40,11.93,13.21,12.00,15.46,14.46,17.62,10.39,15.50,15.50,14.50,13.18,16.00
16.00,14.86,12.79,12.00,12.38,16.27,16.27,14.06,14.50,18.50,14.00,12.40,16.00
13.60,17.07,15.57,12.90,14.23,12.62,15.54,12.06,19.00,15.00,12.00,14.12,16.30
13.20,13.71,15.14,16.30,13.15,16.08,13.08,12.44,12.00,17.00,14.00,12.25,16.75
15.20,14.57,13.50,12.00,13.23,13.46,14.12,13.50,13.00,16.00,14.00,15.62,17.25
18.80,11.86,11.50,15.50,13.69,14.62,16.08,10.89,13.00,15.00,15.50,13.88,14.00
16.20,13.64,13.21,16.30,9.92,12.81,13.46,14.89,18.50,16.50,16.00,13.37,15.50
9.60,17.18,14.64,12.90,14.15,14.50,14.88,12.06,16.00,17.00,14.50,15.70,17.50
11.60,14.89,14.57,15.30,11.92,12.54,16.46,15.67,15.00,12.00,15.00,17.61,14.50
15.00,13.21,14.64,14.20,11.85,15.38,13.92,9.67,14.50,16.50,13.00,16.34,16.00
10.80,14.71,13.86,15.50,10.12,16.00,15.65,12.28,14.00,18.00,14.00,16.30,
13.80,16.14,13.86,16.30,9.50,12.92,16.23,9.44,15.00,16.50,13.50,15.42,16.25
13.80,13.86,10.71,15.60,11.15,12.12,15.58,10.72,15.00,16.50,11.50,18.78,18.00
16.60,9.96,12.00,16.80,14.00,11.31,14.46,10.78,15.50,16.50,13.50,14.25,17.50
13.80,15.07,15.50,15.50,11.85,12.15,11.42,13.06,16.50,16.50,14.50,12.37,18.00
12.20,14.29,15.21,12.00,13.12,17.42,15.23,13.39,16.00,17.50,12.50,14.00,14.00
10.40,15.71,13.71,15.50,15.31,14.58,15.31,9.39,14.00,16.00,13.50,13.25,16.50
12.00,13.64,13.14,15.60,12.85,14.58,15.73,12.67,14.50,16.50,16.50,12.75,15.50
8.40,12.00,13.57,16.80,15.62,15.19,14.85,12.50,14.00,15.00,17.50,14.62,17.00
14.80,11.57,11.36,16.30,9.27,12.77,16.85,14.44,12.00,15.50,17.50,16.30,15.50
12.60,15.89,14.64,12.00,14.92,14.92,16.08,15.56,13.50,16.00,14.00,10.00,15.30
15.00,12.86,13.71,16.30,12.58,13.08,13.85,11.72,14.00,16.50,11.50,14.75,16.65
16.60,12.50,12.36,15.60,9.31,11.50,13.69,13.67,15.00,16.00,14.00,16.30,16.50
13.00,13.71,13.64,13.40,9.46,15.85,15.92,11.28,16.00,16.50,15.00,13.62,17.00
11.80,13.43,15.64,12.00,12.50,14.38,15.08,15.33,12.50,16.50,14.00,16.20,
10.20,14.86,11.43,16.90,11.50,13.69,14.58,10.83,17.00,16.00,13.00,14.70,17.00
11.20,13.39,13.07,16.80,10.96,14.00,14.23,10.00,13.50,16.00,14.00,16.90,16.75
15.20,12.00,12.29,12.90,12.23,13.88,12.08,12.17,17.00,16.00,15.00,16.61,
11.40,13.68,15.79,15.30,13.58,15.85,15.50,5.39,14.50,16.50,15.00,12.53,
14.00,13.79,14.29,12.90,14.58,9.58,14.38,12.33,13.00,16.50,13.50,13.87,16.50
13.80,15.00,12.07,14.20,10.23,13.38,15.46,7.67,,16.00,17.50,14.75,
14.80,14.36,15.21,12.00,12.77,15.31,14.96,9.50,15.50,17.00,10.00,10.10,17.50
